Date,Open,High,Low,Close,Volume
Feb-01-2010,6883.7900,7008.3901,6883.7900,7008.2300,0
Jan-29-2010,6956.9902,7029.2900,6869.2100,6883.7798,0
Jan-28-2010,7035.6201,7061.6099,6913.2998,6956.9902,0
Jan-27-2010,7028.4199,7044.5200,6944.0801,7035.6099,0
Jan-26-2010,7073.1401,7098.7700,7008.9800,7028.3198,0
Jan-25-2010,7030.6099,7118.2202,7030.6099,7073.1299,0
Jan-22-2010,7174.4600,7174.4600,7021.0298,7030.6099,0
Jan-21-2010,7329.8398,7345.9399,7166.6201,7174.4600,0
Jan-20-2010,7443.6699,7443.6699,7269.9302,7329.8301,0
Jan-19-2010,7356.7900,7443.6802,7352.4600,7443.6802,0
Jan-15-2010,7448.5098,7448.5098,7326.5400,7356.7900,0
Jan-14-2010,7430.1401,7458.1602,7417.9502,7448.5200,0
Jan-13-2010,7370.4702,7441.1802,7349.4199,7430.1401,0
Jan-12-2010,7449.0498,7449.0498,7340.9399,7370.4502,0
Jan-11-2010,7425.6099,7471.3101,7419.5698,7449.0498,0
Jan-08-2010,7393.9302,7426.4102,7367.8101,7425.3501,0
Jan-07-2010,7377.7002,7398.2100,7325.5098,7393.9302,0
Jan-06-2010,7354.8501,7389.2798,7342.4902,7377.7002,0
Jan-05-2010,7326.7402,7359.4600,7313.6001,7354.8701,0
Jan-04-2010,7184.9800,7331.1201,7184.9800,7326.7402,0
Dec-31-2009,7241.2500,7258.7500,7183.8398,7184.9600,0
Dec-30-2009,7252.1699,7252.1699,7209.4302,7241.2402,0
Dec-29-2009,7261.2998,7288.2300,7250.5098,7252.1899,0
Dec-28-2009,7255.0000,7282.9902,7240.1602,7261.2402,0
Dec-24-2009,7217.0498,7256.8701,7217.0498,7255.0000,0
Dec-23-2009,7184.1802,7226.7300,7184.1802,7217.2002,0
Dec-22-2009,7147.1802,7192.3599,7147.1802,7184.1802,0
Dec-21-2009,7086.1001,7171.6401,7086.1001,7147.1499,0
Dec-18-2009,7063.8901,7106.7998,7029.1699,7086.1899,0
Dec-17-2009,7180.7500,7180.7500,7056.7598,7063.7500,0
Dec-16-2009,7141.4399,7221.7100,7141.4399,7180.7700,0
Dec-15-2009,7186.4600,7186.4600,7125.4902,7141.4399,0
Dec-14-2009,7125.3501,7190.4800,7125.3501,7186.4902,0
Dec-11-2009,7104.5098,7139.2002,7092.7002,7125.1201,0
Dec-10-2009,7067.6201,7129.6001,7067.6201,7104.5000,0
Dec-09-2009,7056.4800,7074.6499,7002.4702,7067.6201,0
Dec-08-2009,7155.7202,7155.7202,7037.6401,7056.2598,0
Dec-07-2009,7182.6602,7210.0298,7144.7300,7155.7300,0
Dec-04-2009,7157.0801,7285.6699,7124.8999,7182.7100,0
Dec-03-2009,7222.6699,7278.3901,7150.5000,7157.0498,0
Dec-02-2009,7212.0801,7264.8198,7197.0601,7222.4199,0
Dec-01-2009,7092.3599,7234.3701,7092.3599,7212.0801,0
Nov-30-2009,7070.0898,7109.6899,7030.7202,7092.3599,0
Nov-27-2009,7232.1201,7232.1201,7009.4302,7070.0898,0
Nov-25-2009,7170.2700,7234.7300,7170.2700,7232.1201,0
Nov-24-2009,7186.3301,7186.3301,7121.0498,7170.2598,0
Nov-23-2009,7084.4702,7242.4600,7084.4702,7186.3301,0
Nov-20-2009,7117.6299,7117.6299,7048.5000,7084.4702,0
Nov-19-2009,7226.6802,7226.6802,7066.8999,7117.6401,0
Nov-18-2009,7234.0601,7249.7700,7189.0601,7226.7100,0
Nov-17-2009,7237.1001,7237.1001,7171.2598,7234.0601,0
Nov-16-2009,7119.8999,7266.5098,7119.8999,7237.1001,0
Nov-13-2009,7063.0498,7148.4800,7054.4502,7119.8901,0
Nov-12-2009,7155.3599,7170.0098,7047.3398,7063.0498,0
Nov-11-2009,7126.4302,7211.8301,7126.4302,7155.3599,0
Nov-10-2009,7135.3198,7146.7798,7080.5698,7126.4199,0
Nov-09-2009,6958.2900,7135.4502,6958.2900,7135.3301,0
Nov-06-2009,6950.1401,6978.2402,6894.1899,6958.2900,0
Nov-05-2009,6830.4399,6950.1602,6830.4399,6950.1401,0
Nov-04-2009,6812.7002,6924.2202,6812.7002,6830.4302,0
Nov-03-2009,6784.7900,6817.4800,6704.6602,6812.7002,0
Nov-02-2009,6739.4702,6857.8999,6692.8501,6784.9399,0
Oct-30-2009,6955.2998,6955.2998,6714.8101,6739.4502,0
Oct-29-2009,6765.7002,6963.7202,6765.7002,6955.3101,0
Oct-28-2009,6932.0400,6932.0400,6760.5200,6765.6899,0
Oct-27-2009,6960.0898,6999.7300,6919.8701,6932.0400,0
Oct-26-2009,7066.7998,7147.9502,6947.6802,6960.0898,0
Oct-23-2009,7182.9399,7182.9502,7038.8701,7066.7998,0
Oct-22-2009,7107.2100,7196.0801,7051.2100,7182.9102,0
Oct-21-2009,7157.8999,7233.6201,7104.5601,7107.2100,0
Oct-20-2009,7222.2100,7222.5801,7123.1299,7158.2700,0
Oct-19-2009,7133.9600,7241.3901,7133.9600,7222.2100,0
Oct-16-2009,7204.0498,7204.0498,7091.8101,7133.9600,0
Oct-15-2009,7182.3701,7204.0898,7142.0000,7204.0498,0
Oct-14-2009,7031.8901,7187.8999,7031.8901,7182.3799,0
Oct-13-2009,7051.1602,7051.1602,6981.6499,7031.8701,0
Oct-12-2009,7015.5601,7083.6099,7015.5601,7051.1602,0
Oct-09-2009,6990.5400,7015.5400,6968.5801,7015.5400,0
Oct-08-2009,6912.7900,7020.0098,6912.7900,6990.6699,0
Oct-07-2009,6899.6802,6918.1299,6865.5200,6912.6499,0

