CODE,DATE,CLOSING PRICE,CLOSING PRICE,CLOSING PRICE
NYA,1/12/2005,7075.64,7075.64,7075.64
NYA,1/13/2005,7028.67,7028.67,7028.67
NYA,1/14/2005,7066.22,7066.22,7066.22
NYA,1/18/2005,7114.53,7114.53,7114.53
NYA,1/19/2005,7059.27,7059.27,7059.27
NYA,1/20/2005,7010.47,7010.47,7010.47
NYA,1/21/2005,6996.56,6996.56,6996.56
NYA,1/24/2005,6984.03,6984.03,6984.03
NYA,1/25/2005,6998.64,6998.64,6998.64
NYA,1/26/2005,7046.4,7046.4,7046.4
NYA,1/27/2005,7048.97,7048.97,7048.97
NYA,1/28/2005,7031.99,7031.99,7031.99
NYA,1/31/2005,7089.83,7089.83,7089.83
NYA,2/1/2005,7146.21,7146.21,7146.21
NYA,2/2/2005,7169.39,7169.39,7169.39
NYA,2/3/2005,7148.32,7148.32,7148.32
NYA,2/4/2005,7217.43,7217.43,7217.43
NYA,2/7/2005,7200.91,7200.91,7200.91
NYA,2/8/2005,7207.45,7207.45,7207.45
NYA,2/9/2005,7161.99,7161.99,7161.99
NYA,2/10/2005,7210.65,7210.65,7210.65
NYA,2/11/2005,7261.64,7261.64,7261.64
NYA,2/14/2005,7280.37,7280.37,7280.37
NYA,2/15/2005,7303.96,7303.96,7303.96
NYA,2/16/2005,7306.76,7306.76,7306.76
NYA,2/17/2005,7272.54,7272.54,7272.54
NYA,2/18/2005,7287.47,7287.47,7287.47
NYA,2/22/2005,7211.17,7211.17,7211.17
NYA,2/23/2005,7243.28,7243.28,7243.28
NYA,2/24/2005,7283.28,7283.28,7283.28
NYA,2/25/2005,7361.89,7361.89,7361.89
NYA,2/28/2005,7321.23,7321.23,7321.23
NYA,3/1/2005,7351.03,7351.03,7351.03
NYA,3/2/2005,7343.14,7343.14,7343.14
NYA,3/3/2005,7357.12,7357.12,7357.12
NYA,3/4/2005,7441.18,7441.18,7441.18
NYA,3/7/2005,7440.31,7440.31,7440.31
NYA,3/8/2005,7426.17,7426.17,7426.17
NYA,3/9/2005,7354.74,7354.74,7354.74
NYA,3/10/2005,7354.98,7354.98,7354.98
NYA,3/11/2005,7330.43,7330.43,7330.43
NYA,3/14/2005,7353.89,7353.89,7353.89
NYA,3/15/2005,7310.41,7310.41,7310.41
NYA,3/16/2005,7264.47,7264.47,7264.47
NYA,3/17/2005,7284.31,7284.31,7284.31
NYA,3/18/2005,7276.84,7276.84,7276.84
NYA,3/21/2005,7229.2,7229.2,7229.2
NYA,3/22/2005,7158.97,7158.97,7158.97
NYA,3/23/2005,7127.18,7127.18,7127.18
NYA,3/24/2005,7128.8,7128.8,7128.8
NYA,3/28/2005,7131.52,7131.52,7131.52
NYA,3/29/2005,7070.53,7070.53,7070.53
NYA,3/30/2005,7158.5,7158.5,7158.5
NYA,3/31/2005,7167.53,7167.53,7167.53
NYA,4/1/2005,7136.36,7136.36,7136.36
NYA,4/4/2005,7137.53,7137.53,7137.53
NYA,4/5/2005,7170.9,7170.9,7170.9
NYA,4/6/2005,7191.18,7191.18,7191.18
NYA,4/7/2005,7227.08,7227.08,7227.08
NYA,4/8/2005,7181.5,7181.5,7181.5
NYA,4/11/2005,7189.42,7189.42,7189.42
NYA,4/12/2005,7208.04,7208.04,7208.04
NYA,4/13/2005,7133.99,7133.99,7133.99
NYA,4/14/2005,7063.74,7063.74,7063.74
NYA,4/15/2005,6958.35,6958.35,6958.35
NYA,4/18/2005,6969.09,6969.09,6969.09
NYA,4/19/2005,7030.74,7030.74,7030.74
NYA,4/20/2005,6937.6,6937.6,6937.6
NYA,4/21/2005,7049.18,7049.18,7049.18
NYA,4/22/2005,7015.85,7015.85,7015.85
NYA,4/25/2005,7071.86,7071.86,7071.86
NYA,4/26/2005,7011.21,7011.21,7011.21
NYA,4/27/2005,7010.21,7010.21,7010.21
NYA,4/28/2005,6935.31,6935.31,6935.31
NYA,4/29/2005,7008.32,7008.32,7008.32
NYA,5/2/2005,7043.01,7043.01,7043.01
NYA,5/3/2005,7032.03,7032.03,7032.03
NYA,5/4/2005,7124.69,7124.69,7124.69
NYA,5/5/2005,7117.29,7117.29,7117.29
NYA,5/6/2005,7110.08,7110.08,7110.08
NYA,5/9/2005,7144.6,7144.6,7144.6
NYA,5/10/2005,7066.81,7066.81,7066.81
NYA,5/11/2005,7079.86,7079.86,7079.86
NYA,5/12/2005,6989.64,6989.64,6989.64
NYA,5/13/2005,6937.69,6937.69,6937.69
NYA,5/16/2005,6996.13,6996.13,6996.13
NYA,5/17/2005,7034.64,7034.64,7034.64
NYA,5/18/2005,7113.12,7113.12,7113.12
NYA,5/19/2005,7140.96,7140.96,7140.96
NYA,5/20/2005,7121.02,7121.02,7121.02
NYA,5/23/2005,7155.95,7155.95,7155.95
NYA,5/24/2005,7153.98,7153.98,7153.98
NYA,5/25/2005,7129.24,7129.24,7129.24
NYA,5/26/2005,7164.47,7164.47,7164.47
NYA,5/27/2005,7184.9,7184.9,7184.9
NYA,5/31/2005,7134.33,7134.33,7134.33
NYA,6/1/2005,7190.65,7190.65,7190.65
NYA,6/2/2005,7206.08,7206.08,7206.08
NYA,6/3/2005,7169.21,7169.21,7169.21
NYA,6/6/2005,7184.49,7184.49,7184.49
NYA,6/7/2005,7199.32,7199.32,7199.32
NYA,6/8/2005,7180.57,7180.57,7180.57
NYA,6/9/2005,7212.13,7212.13,7212.13
NYA,6/10/2005,7200.11,7200.11,7200.11
NYA,6/13/2005,7213.02,7213.02,7213.02
NYA,6/14/2005,7235.14,7235.14,7235.14
NYA,6/15/2005,7256.39,7256.39,7256.39
NYA,6/16/2005,7289.76,7289.76,7289.76
NYA,6/17/2005,7346.32,7346.32,7346.32
NYA,6/20/2005,7325.69,7325.69,7325.69
NYA,6/21/2005,7314.25,7314.25,7314.25
NYA,6/22/2005,7320.09,7320.09,7320.09
NYA,6/23/2005,7246.55,7246.55,7246.55
NYA,6/24/2005,7209.06,7209.06,7209.06
NYA,6/27/2005,7210.32,7210.32,7210.32
NYA,6/28/2005,7267.92,7267.92,7267.92
NYA,6/29/2005,7262.31,7262.31,7262.31
NYA,6/30/2005,7217.78,7217.78,7217.78
NYA,7/1/2005,7245.59,7245.59,7245.59
NYA,7/5/2005,7289.67,7289.67,7289.67
NYA,7/6/2005,7251.87,7251.87,7251.87
NYA,7/7/2005,7254.57,7254.57,7254.57
NYA,7/8/2005,7330.58,7330.58,7330.58
NYA,7/11/2005,7382.5,7382.5,7382.5
NYA,7/12/2005,7411.85,7411.85,7411.85
NYA,7/13/2005,7400.83,7400.83,7400.83
NYA,7/14/2005,7403.4,7403.4,7403.4
NYA,7/15/2005,7403.59,7403.59,7403.59
NYA,7/18/2005,7372.44,7372.44,7372.44
NYA,7/19/2005,7414.57,7414.57,7414.57
NYA,7/20/2005,7453.41,7453.41,7453.41
NYA,7/21/2005,7412.41,7412.41,7412.41
NYA,7/22/2005,7447.16,7447.16,7447.16
NYA,7/25/2005,7423.25,7423.25,7423.25
NYA,7/26/2005,7428.07,7428.07,7428.07
NYA,7/27/2005,7465.44,7465.44,7465.44
NYA,7/28/2005,7516.78,7516.78,7516.78
NYA,7/29/2005,7476.66,7476.66,7476.66
NYA,8/1/2005,7502.1,7502.1,7502.1
NYA,8/2/2005,7556.59,7556.59,7556.59
NYA,8/3/2005,7566.54,7566.54,7566.54
NYA,8/4/2005,7515.18,7515.18,7515.18
NYA,8/5/2005,7453.29,7453.29,7453.29
NYA,8/8/2005,7452.71,7452.71,7452.71
NYA,8/9/2005,7505.58,7505.58,7505.58
NYA,8/10/2005,7528.39,7528.39,7528.39
NYA,8/11/2005,7590.83,7590.83,7590.83
NYA,8/12/2005,7558.33,7558.33,7558.33
NYA,8/15/2005,7564.78,7564.78,7564.78
NYA,8/16/2005,7480.16,7480.16,7480.16
NYA,8/17/2005,7461.77,7461.77,7461.77
NYA,8/18/2005,7433.24,7433.24,7433.24
NYA,8/19/2005,7458.54,7458.54,7458.54
NYA,8/22/2005,7486.54,7486.54,7486.54
NYA,8/23/2005,7453.78,7453.78,7453.78
NYA,8/24/2005,7417.42,7417.42,7417.42
NYA,8/25/2005,7434.58,7434.58,7434.58
NYA,8/26/2005,7379.86,7379.86,7379.86
NYA,8/29/2005,7413.98,7413.98,7413.98
NYA,8/30/2005,7397.06,7397.06,7397.06
NYA,8/31/2005,7496.09,7496.09,7496.09
NYA,9/1/2005,7543.85,7543.85,7543.85
NYA,9/2/2005,7531.13,7531.13,7531.13
NYA,9/6/2005,7618.96,7618.96,7618.96
NYA,9/7/2005,7625.24,7625.24,7625.24
NYA,9/8/2005,7594.64,7594.64,7594.64
NYA,9/9/2005,7663.82,7663.82,7663.82
NYA,9/12/2005,7637.51,7637.51,7637.51
NYA,9/13/2005,7578.25,7578.25,7578.25
NYA,9/14/2005,7577.29,7577.29,7577.29
